id,nom_ressource,type_ressource,quantite,unite_mesure,Usage Frequency,Saison
1023,Engrais organique à base de trèfle,carburant,303.47,Litre,monthly,fall
1024,Graines de céleri,carburant,883.38,Millilitre,weekly,winter
1025,Semences de chou-fleur,engrais,302.65,Mètre cube,weekly,fall
1026,,carburant,375.93,Mètre cube,monthly,fall
1027,Kit de goutte à goutte portable,engrais,842.85,Kilogramme,monthly,summer
1028,Graines de tomate cerise,carburant,301.37,Litre,weekly,summer
1029,Désherbant systémique non toxique,semences,549.77,Kilogramme,monthly,winter
1030,Engrais de couverture pour sols,semences,216.69,Gramme,monthly,fall
1031,Herbicide à base de flumioxazine,pesticide,572.57,Litre,monthly,winter
1032,Engrais à base de cendre de bois,pesticide,447.77,Hectare,monthly,winter
1033,Eau de pluie filtrée,pesticide,344.19,Acre,daily,winter
1034,Pesticide à base de baccillus thuringiensis,engrais,914.68,Litre,weekly,fall
1035,Engrais azoté NPK 20-20-20,pesticide,792.41,Mètre cube,monthly,winter
1036,,pesticide,245.24,Litre,monthly,winter
1037,Phosphate de calcium granulaire,engrais,604.94,Kilogramme,monthly,fall
1038,Graines de menthe,engrais,979.93,Mètre cube,daily,summer
1039,Engrais universel pour toutes cultures,semences,238.79,Millilitre,daily,spring
1040,Graines de basilic,eau,239.05,Mètre cube,monthly,fall
1041,Fongicide à base de fludioxonil,engrais,745.72,Millilitre,daily,summer
1042,Engrais liquide pour légumes,eau,229.98,Acre,daily,summer
1043,Solution nutritive hydroponique,pesticide,775.15,Acre,daily,winter
1044,Graines de cerise,semences,307.52,Gramme,weekly,winter
1045,Électricité solaire pour pompe,pesticide,813.78,Mètre cube,monthly,summer
1046,Carburant diesel pour machines agricoles,engrais,977.36,Litre,weekly,fall
1047,Système de serre modulable,carburant,878.2,Hectare,weekly,summer
1048,Solution nutritive hydroponique,carburant,296.46,Acre,daily,summer
1049,Paillis organique pour jardin,eau,722.72,Millilitre,weekly,spring
1050,Essence pour tondeuse à gazon,carburant,477.86,Millilitre,weekly,summer
1051,Gravier pour drainage,eau,635.49,Hectare,weekly,fall
1052,Réservoir d'eau potable,pesticide,710.01,Hectare,daily,spring
1053,Propane pour réchaud,pesticide,986.58,Litre,daily,winter
1054,Engrais pour arbres fruitiers,eau,367.66,Acre,daily,spring
1055,,engrais,839.68,Acre,daily,winter
1056,Biopesticide à base de saponines,engrais,491.08,Kilogramme,monthly,spring
1057,Graines de kiwi,engrais,686.13,Acre,monthly,spring
1058,Semences de maïs hybride,eau,738.16,Mètre cube,weekly,winter
1059,Fongicide à base de propiconazole,eau,844.89,Litre,weekly,fall
1060,Engrais en granulés,eau,596.65,Gramme,monthly,winter
1061,Gravier pour drainage,semences,929.93,Gramme,daily,fall
1062,Gaz de ville pour équipements,engrais,216.8,Hectare,daily,fall
1063,Charrue à deux socs,eau,853.98,Litre,weekly,winter
1064,Graines de kiwi,engrais,620.13,Kilogramme,monthly,summer
1065,Système de récolte à la main,engrais,434.17,Kilogramme,monthly,spring
1066,Biogaz pour chauffage,engrais,460.79,Litre,daily,winter
1067,Engrais à base de vinaigre,engrais,624.55,Litre,monthly,spring
1068,Engrais à base de farine de sang,carburant,512.45,Millilitre,daily,winter
1069,Pesticide à base de thiaméthoxame,pesticide,806.39,Kilogramme,weekly,winter
1070,Système d’irrigation par aspersion,semences,388.21,Acre,monthly,spring
1071,Herbicide à base de flumioxazine,engrais,917.18,Hectare,monthly,winter
1072,Fil de fer pour clôtures,pesticide,325.02,Litre,daily,winter
1073,Semoir automatique de précision,pesticide,466.22,Kilogramme,daily,spring
1074,Bassin de stockage d'eau,pesticide,294.28,Acre,daily,winter
1075,Souffleur à feuilles à batterie,engrais,828.93,Hectare,weekly,spring
1076,Kit d'irrigation pour potager,semences,709.55,Hectare,monthly,spring
1077,Système de serre modulable,engrais,317.42,Hectare,weekly,spring
1078,Semences de courgette,pesticide,322.45,Hectare,monthly,spring
1079,Paille de blé pour paillage,semences,890.34,Acre,daily,summer
1080,Carburant biodiesel,pesticide,203.48,Gramme,daily,spring
1081,Semences de courgette,eau,242.35,Kilogramme,monthly,winter
1082,Insecticide à base de spinosad,pesticide,424.26,Hectare,daily,summer
1083,Engrais enrichi en oligo-éléments,pesticide,255.34,Hectare,daily,spring
1084,Semences de radis,engrais,229.93,Millilitre,weekly,spring
1085,Engrais à base de compost de vers,pesticide,726.42,Millilitre,daily,fall
1086,Engrais à base de farine de sang,engrais,749.37,Acre,weekly,fall
1087,Engrais à base de cendre de bois,engrais,413.62,Millilitre,daily,summer
1088,Engrais pour pelouse et jardins,engrais,200.75,Millilitre,daily,winter
1089,Engrais phosphoré pour tubercules,engrais,575.38,Kilogramme,weekly,winter
1090,,engrais,671.51,Acre,daily,fall
1091,Écorces pour paillis,semences,806.02,Acre,weekly,spring
1092,Eau de source pour agriculture,eau,598.42,Litre,weekly,winter
1093,,engrais,714.35,Kilogramme,weekly,spring
1094,Essence pour tondeuse à gazon,carburant,736.22,Hectare,monthly,winter
1095,Insecticide biologique à base de pyréthre,eau,844.78,Kilogramme,monthly,fall
1096,Fongicide à base de benomyl,engrais,468.77,Acre,daily,fall
1097,Kit d'irrigation pour potager,pesticide,229.04,Hectare,weekly,spring
1098,Semences de millet,engrais,910.59,Mètre cube,weekly,fall
1099,Cactus comme plante d'intérieur,engrais,959.81,Gramme,weekly,summer
1100,Bois pour construction de serres,engrais,484.3,Mètre cube,monthly,winter
1101,Insecticide systémique pour rosier,eau,520.73,Gramme,daily,spring
1102,Pesticide à base d'extraits de plantes,semences,435.1,Gramme,monthly,summer
1103,Engrais naturel à base de farine d’os,pesticide,675.54,Mètre cube,daily,spring
1104,,pesticide,481.38,Hectare,monthly,winter
1105,Fongicide à base de propiconazole,engrais,552.92,Millilitre,weekly,summer
1106,Pesticide à base de bicarbonate de soude,pesticide,593.91,Acre,weekly,spring
1107,Système de compostage domestique,pesticide,642.88,Millilitre,weekly,fall
1108,Engrais pour orchidées,carburant,782.56,Acre,daily,fall
1109,Semences de millet,pesticide,806.37,Mètre cube,daily,winter
1110,,semences,748.2,Millilitre,daily,summer
1111,Insecticide naturel à base de savon,carburant,260.51,Kilogramme,weekly,summer
1112,,pesticide,871.84,Acre,weekly,fall
1113,Bois pour construction de serres,pesticide,578.6,Millilitre,monthly,winter
1114,,carburant,948.09,Kilogramme,weekly,fall
1115,Tuyaux d'irrigation en PVC,pesticide,344.64,Acre,monthly,fall
1116,Système de compostage domestique,carburant,695.52,Hectare,daily,summer
1117,Eau de source pour agriculture,engrais,917.3,Millilitre,monthly,spring
1118,Système de récolte à la main,pesticide,662.11,Mètre cube,monthly,spring
1119,Insecticide à base de abamectine,eau,856.48,Millilitre,monthly,summer
1120,Énergie éolienne pour ferme,pesticide,441.21,Hectare,weekly,summer
1121,Tracteur électrique,eau,243.8,Kilogramme,monthly,summer
1122,,eau,608.67,Acre,daily,spring
1123,Paillis organique pour jardin,pesticide,514.37,Kilogramme,monthly,fall
1124,Engrais à base de fumier de cheval,pesticide,635.54,Kilogramme,daily,fall
1125,Système de serre modulable,pesticide,427.97,Kilogramme,weekly,fall
1126,Semences d’aubergine,eau,494.62,Millilitre,weekly,fall
1127,Gazole pour engins de chantier,carburant,396.6,Gramme,daily,fall
1128,Semences de radis,semences,477.78,Acre,monthly,spring
1129,Débroussailleuse à essence,carburant,227.53,Kilogramme,monthly,winter
1130,Pétrole pour tracteurs,pesticide,665.93,Litre,daily,winter
1131,Engrais naturel à base de farine d’os,pesticide,586.31,Acre,daily,spring
1132,,carburant,818.18,Kilogramme,monthly,spring
1133,Engrais NPK 10-20-20,eau,724.33,Hectare,monthly,fall
1134,Engrais granulé à libération contrôlée,pesticide,949.97,Millilitre,monthly,winter
1135,Engrais à libération rapide,engrais,882.16,Millilitre,daily,winter
1136,Graines de tournesol bio,semences,763.7,Kilogramme,weekly,fall
1137,Ensileuse pour récoltes fourragères,eau,798.19,Mètre cube,weekly,summer
1138,Engrais liquide pour légumes,engrais,875.11,Millilitre,monthly,summer
1139,Semences de haricot vert,carburant,645.31,Mètre cube,monthly,spring
1140,Système de filtrage d'eau,semences,788.58,Mètre cube,daily,winter
1141,,eau,716.47,Millilitre,weekly,fall
1142,Eau purifiée pour irrigation goutte-à-goutte,eau,257.31,Litre,daily,winter
1143,Solution nutritive hydroponique,eau,701.21,Hectare,weekly,summer
1144,Pesticide à base de thiaméthoxame,carburant,879.62,Kilogramme,daily,winter
1145,Biopesticide à base de neem,engrais,793.15,Hectare,daily,fall
1146,Semences de blé tendre,engrais,302.92,Gramme,monthly,summer
1147,Biogaz pour chauffage,engrais,424.43,Hectare,weekly,winter
1148,Eau de source pour agriculture,eau,713.68,Acre,daily,summer
1149,Engrais minéral à base de soufre,eau,937.87,Mètre cube,daily,summer
1150,Écorces pour paillis,semences,214.76,Hectare,monthly,spring
1151,Compost à base de déchets verts,semences,584.65,Gramme,weekly,spring
1152,Système de filtration pour irrigation,pesticide,344.79,Gramme,weekly,winter
1153,Gaz naturel pour tracteurs,carburant,220.57,Mètre cube,weekly,spring
1154,Désherbant systémique non toxique,engrais,806.38,Millilitre,monthly,winter
1155,Graines de betterave sucrière,carburant,215.8,Acre,monthly,fall
1156,Pesticide à base de formaldéhyde,carburant,658.81,Gramme,daily,spring
1157,Semences de gingembre,semences,286.94,Millilitre,monthly,winter
1158,Engrais phosphoré pour tubercules,semences,328.56,Mètre cube,daily,winter
1159,Pesticide à base d'extraits de plantes,engrais,604.12,Mètre cube,monthly,summer
1160,Charrue à verser,carburant,787.59,Litre,weekly,fall
1161,Insecticide à base de pyréthrines,engrais,364.6,Kilogramme,weekly,spring
1162,Terreau de qualité supérieure,engrais,296.38,Gramme,daily,winter
1163,Engrais pour orchidées,engrais,598.96,Gramme,monthly,winter
1164,Insecticide à base de méthomyl,semences,916.09,Kilogramme,daily,spring
1165,Système d’irrigation en goutte à goutte,carburant,576.72,Mètre cube,daily,summer
1166,Engrais à base de lactosérum,eau,922.09,Litre,daily,summer
1167,Tracteur compact polyvalent,eau,504.22,Kilogramme,daily,spring
1168,Système de filtration pour irrigation,engrais,803.73,Millilitre,monthly,fall
1169,Système d'irrigation goutte à goutte,semences,807.08,Acre,weekly,spring
1170,Désherbant systémique non toxique,semences,713.88,Acre,monthly,winter
1171,,pesticide,329.72,Kilogramme,monthly,fall
1172,,eau,858.16,Hectare,weekly,summer
1173,Engrais à base de vinaigre,engrais,838.17,Kilogramme,monthly,fall
1174,Outils de jardinage manuels,semences,255.44,Millilitre,monthly,winter
1175,Engrais pour orchidées,semences,848.76,Litre,weekly,summer
1176,Engrais enrichi en fer,semences,453.2,Millilitre,daily,fall
1177,Graines de colza,eau,523.89,Kilogramme,daily,fall
1178,Propane pour réchaud,semences,433.22,Litre,weekly,fall
1179,Fongicide à base de fludioxonil,pesticide,940.72,Hectare,weekly,spring
1180,Insecticide à base de diatomée,pesticide,828.11,Mètre cube,daily,winter
1181,Semences d’aubergine,carburant,558.86,Mètre cube,weekly,fall
1182,Treuil pour jardinage,carburant,810.56,Kilogramme,monthly,summer
1183,Fongicide à base de captane,pesticide,570.12,Gramme,daily,winter
1184,Énergie éolienne pour ferme,eau,743.29,Litre,weekly,winter
1185,Semences de gingembre,pesticide,350.12,Kilogramme,daily,spring
1186,Semences de gingembre,pesticide,906.64,Millilitre,monthly,winter
1187,Filet de protection anti-insectes,engrais,424.89,Gramme,monthly,fall
1188,Semences de melon,eau,841.07,Litre,daily,summer
1189,Semences de thym,engrais,1000.63,Mètre cube,monthly,spring
1190,Hydrogène pour stockage d'énergie,carburant,410.52,Mètre cube,monthly,summer
1191,Semences de brocoli,eau,298.59,Kilogramme,monthly,spring
1192,Engrais liquide à base de poisson,semences,261.81,Litre,daily,winter
1193,Engrais en poudre,engrais,948.77,Acre,weekly,winter
1194,Engrais riche en calcium,eau,352.47,Litre,weekly,summer
1195,Système de compostage domestique,engrais,683.32,Millilitre,weekly,winter
1196,Semences de haricot vert,carburant,753.95,Gramme,monthly,fall
1197,Cendres de bois comme amendement,carburant,747.27,Mètre cube,daily,spring
1198,Graines de fruits exotiques,eau,709.59,Mètre cube,monthly,spring
1199,Fongicide à base de propiconazole,eau,705.77,Millilitre,daily,summer
